# section: strategy
name,Alpha AE6 MFI Williams Flush Fade 4h
market,KRW-BTC
timeframe,4h
stop_loss_pct,3.0
take_profit_pct,5.0
indicators,"mfi14(mfi, period=14), wr14(williams_r, period=14), adx14(adx, period=14)"

# section: disclaimer
notice,Backtesting results are based on historical data and do not guarantee that the same or similar investment performance will be achieved in the future or in actual trading.

# section: performance
metric,value
period,2025-07-29 ~ 2026-07-28 (UTC)
initial_capital,1000000 KRW
trading_bars,2185
2025-09-19 12:00:00 UTC,sell
2025-09-19 16:00:00 UTC,sell
2025-09-19 20:00:00 UTC,sell
2025-09-20 00:00:00 UTC,sell
2025-09-20 04:00:00 UTC,sell
2025-09-20 08:00:00 UTC,sell
2025-09-20 12:00:00 UTC,sell
2025-09-20 16:00:00 UTC,sell
2025-09-22 08:00:00 UTC,buy
2025-09-24 16:00:00 UTC,sell
2025-09-24 20:00:00 UTC,sell
2025-09-25 00:00:00 UTC,sell
2025-09-28 16:00:00 UTC,sell
2025-09-28 20:00:00 UTC,sell
2025-09-29 00:00:00 UTC,sell
2025-09-29 04:00:00 UTC,sell
2025-09-29 08:00:00 UTC,sell
2025-09-29 12:00:00 UTC,sell
2025-09-29 16:00:00 UTC,sell
2025-09-29 20:00:00 UTC,sell
2025-09-30 00:00:00 UTC,sell
2025-09-30 04:00:00 UTC,sell
2025-09-30 08:00:00 UTC,sell
2025-09-30 12:00:00 UTC,sell
2025-09-30 16:00:00 UTC,sell
2025-09-30 20:00:00 UTC,sell
2025-10-01 00:00:00 UTC,sell
2025-10-01 04:00:00 UTC,sell
2025-10-01 08:00:00 UTC,sell
2025-10-01 12:00:00 UTC,sell
2025-10-01 16:00:00 UTC,sell
2025-10-01 20:00:00 UTC,sell
2025-10-02 00:00:00 UTC,sell
2025-10-02 04:00:00 UTC,sell
2025-10-02 08:00:00 UTC,sell
2025-10-02 12:00:00 UTC,sell
2025-10-02 16:00:00 UTC,sell
2025-10-02 20:00:00 UTC,sell
2025-10-03 00:00:00 UTC,sell
2025-10-03 04:00:00 UTC,sell
2025-10-03 08:00:00 UTC,sell
2025-10-03 12:00:00 UTC,sell
2025-10-03 16:00:00 UTC,sell
2025-10-03 20:00:00 UTC,sell
2025-10-04 00:00:00 UTC,sell
2025-10-04 04:00:00 UTC,sell
2025-10-04 08:00:00 UTC,sell
2025-10-04 12:00:00 UTC,sell
2025-10-04 16:00:00 UTC,sell
2025-10-04 20:00:00 UTC,sell
2025-10-05 00:00:00 UTC,sell
2025-10-05 04:00:00 UTC,sell
2025-10-05 08:00:00 UTC,sell
2025-10-05 12:00:00 UTC,sell
2025-10-05 16:00:00 UTC,sell
2025-10-05 20:00:00 UTC,sell
2025-10-06 00:00:00 UTC,sell
2025-10-06 04:00:00 UTC,sell
2025-10-06 08:00:00 UTC,sell
2025-10-06 12:00:00 UTC,sell
2025-10-06 16:00:00 UTC,sell
2025-10-06 20:00:00 UTC,sell
2025-10-07 00:00:00 UTC,sell
2025-10-07 04:00:00 UTC,sell
2025-10-07 08:00:00 UTC,sell
2025-10-07 12:00:00 UTC,sell
2025-10-08 00:00:00 UTC,sell
2025-10-08 04:00:00 UTC,sell
2025-10-08 08:00:00 UTC,sell
2025-10-08 12:00:00 UTC,sell
2025-10-08 16:00:00 UTC,sell
2025-10-08 20:00:00 UTC,sell
2025-10-09 00:00:00 UTC,sell
2025-10-09 08:00:00 UTC,sell
2025-10-09 12:00:00 UTC,sell
2025-10-13 00:00:00 UTC,sell
2025-10-13 04:00:00 UTC,sell
2025-10-13 08:00:00 UTC,sell
2025-10-13 16:00:00 UTC,sell
2025-10-13 20:00:00 UTC,sell
2025-10-14 00:00:00 UTC,sell
2025-10-19 16:00:00 UTC,sell
2025-10-19 20:00:00 UTC,sell
2025-10-20 00:00:00 UTC,sell
2025-10-20 04:00:00 UTC,sell
2025-10-20 08:00:00 UTC,sell
2025-10-20 12:00:00 UTC,sell
2025-10-20 16:00:00 UTC,sell
2025-10-20 20:00:00 UTC,sell
2025-10-21 00:00:00 UTC,sell
2025-10-21 04:00:00 UTC,sell
2025-10-21 08:00:00 UTC,sell
2025-10-21 12:00:00 UTC,sell
2025-10-21 16:00:00 UTC,sell
2025-10-21 20:00:00 UTC,sell
