# section: strategy
name,Alpha AE9 Trend Pullback Continuation 4h
market,KRW-BTC
timeframe,4h
stop_loss_pct,5.0
take_profit_pct,12.0
indicators,"ema20(moving_average, type=EMA, period=20), ema50(moving_average, type=EMA, period=50), adx14(adx, period=14)"

# section: disclaimer
notice,Backtesting results are based on historical data and do not guarantee that the same or similar investment performance will be achieved in the future or in actual trading.

# section: performance
metric,value
2025-10-14 04:00:00 UTC,sell
2025-10-14 08:00:00 UTC,sell
2025-10-14 12:00:00 UTC,sell
2025-10-14 16:00:00 UTC,sell
2025-10-14 20:00:00 UTC,sell
2025-10-15 00:00:00 UTC,sell
2025-10-15 04:00:00 UTC,sell
2025-10-15 08:00:00 UTC,sell
2025-10-15 12:00:00 UTC,sell
2025-10-15 16:00:00 UTC,sell
2025-10-15 20:00:00 UTC,sell
2025-10-16 00:00:00 UTC,sell
2025-10-16 04:00:00 UTC,sell
2025-10-16 08:00:00 UTC,sell
2025-10-16 12:00:00 UTC,sell
2025-10-16 16:00:00 UTC,sell
2025-10-16 20:00:00 UTC,sell
2025-10-17 00:00:00 UTC,sell
2025-10-17 04:00:00 UTC,sell
2025-10-17 08:00:00 UTC,sell
2025-10-17 12:00:00 UTC,sell
2025-10-17 16:00:00 UTC,sell
2025-10-17 20:00:00 UTC,sell
2025-10-18 00:00:00 UTC,sell
2025-10-18 04:00:00 UTC,sell
2025-10-18 08:00:00 UTC,sell
2025-10-18 12:00:00 UTC,sell
2025-10-18 16:00:00 UTC,sell
2025-10-18 20:00:00 UTC,sell
2025-10-19 00:00:00 UTC,sell
2025-10-19 04:00:00 UTC,sell
2025-10-19 08:00:00 UTC,sell
2025-10-19 12:00:00 UTC,sell
2025-10-19 16:00:00 UTC,sell
2025-10-19 20:00:00 UTC,sell
2025-10-20 00:00:00 UTC,sell
2025-10-20 04:00:00 UTC,sell
2025-10-20 08:00:00 UTC,sell
2025-10-20 12:00:00 UTC,sell
2025-10-20 16:00:00 UTC,sell
2025-10-20 20:00:00 UTC,sell
2025-10-21 00:00:00 UTC,sell
2025-10-21 04:00:00 UTC,sell
2025-10-21 08:00:00 UTC,sell
2025-10-21 12:00:00 UTC,sell
2025-10-22 00:00:00 UTC,sell
2025-10-22 04:00:00 UTC,sell
2025-10-22 08:00:00 UTC,sell
2025-10-22 12:00:00 UTC,sell
2025-10-22 16:00:00 UTC,sell
2025-10-22 20:00:00 UTC,sell
2025-10-23 00:00:00 UTC,sell
2025-10-23 04:00:00 UTC,sell
2025-10-23 12:00:00 UTC,sell
2025-10-29 00:00:00 UTC,sell
2025-10-29 16:00:00 UTC,sell
2025-10-29 20:00:00 UTC,sell
2025-10-30 00:00:00 UTC,sell
2025-10-30 04:00:00 UTC,sell
2025-10-30 08:00:00 UTC,sell
2025-10-30 12:00:00 UTC,sell
2025-10-30 16:00:00 UTC,sell
2025-10-30 20:00:00 UTC,sell
2025-10-31 00:00:00 UTC,sell
2025-10-31 04:00:00 UTC,sell
2025-10-31 08:00:00 UTC,sell
2025-10-31 12:00:00 UTC,sell
2025-10-31 16:00:00 UTC,sell
2025-10-31 20:00:00 UTC,sell
2025-11-01 00:00:00 UTC,sell
2025-11-01 04:00:00 UTC,sell
2025-11-01 08:00:00 UTC,sell
2025-11-01 12:00:00 UTC,sell
2025-11-01 16:00:00 UTC,sell
2025-11-01 20:00:00 UTC,sell
2025-11-02 00:00:00 UTC,sell
2025-11-02 04:00:00 UTC,sell
2025-11-02 08:00:00 UTC,sell
2025-11-02 12:00:00 UTC,sell
2025-11-02 16:00:00 UTC,sell
2025-11-02 20:00:00 UTC,sell
2025-11-03 00:00:00 UTC,sell
2025-11-03 04:00:00 UTC,sell
2025-11-03 08:00:00 UTC,sell
2025-11-03 12:00:00 UTC,sell
2025-11-03 16:00:00 UTC,sell
2025-11-03 20:00:00 UTC,sell
2025-11-04 00:00:00 UTC,sell
2025-11-04 04:00:00 UTC,sell
2025-11-04 08:00:00 UTC,sell
2025-11-04 12:00:00 UTC,sell
2025-11-04 16:00:00 UTC,sell
2025-11-04 20:00:00 UTC,sell
2025-11-05 00:00:00 UTC,sell
2025-11-05 04:00:00 UTC,sell
2025-11-05 08:00:00 UTC,sell
2025-11-05 12:00:00 UTC,sell
2025-11-05 16:00:00 UTC,sell
2025-11-05 20:00:00 UTC,sell
2025-11-06 00:00:00 UTC,sell
2025-11-06 04:00:00 UTC,sell
2025-11-06 08:00:00 UTC,sell
2025-11-06 12:00:00 UTC,sell
2025-11-06 16:00:00 UTC,sell
2025-11-06 20:00:00 UTC,sell
2025-11-07 00:00:00 UTC,sell
2025-11-07 04:00:00 UTC,sell
2025-11-07 08:00:00 UTC,sell
2025-11-07 12:00:00 UTC,sell
2025-11-07 16:00:00 UTC,sell
2025-11-07 20:00:00 UTC,sell
2025-11-08 00:00:00 UTC,sell
2025-11-08 04:00:00 UTC,sell
2025-11-08 08:00:00 UTC,sell
2025-11-08 12:00:00 UTC,sell
2025-11-08 16:00:00 UTC,sell
2025-11-08 20:00:00 UTC,sell
2025-11-09 00:00:00 UTC,sell
2025-11-09 04:00:00 UTC,sell
2025-11-09 08:00:00 UTC,sell
2025-11-09 12:00:00 UTC,sell
2025-11-09 16:00:00 UTC,sell
2025-11-11 16:00:00 UTC,sell
2025-11-11 20:00:00 UTC,sell
2025-11-12 00:00:00 UTC,sell
2025-11-12 04:00:00 UTC,sell
2025-11-12 08:00:00 UTC,sell
2025-11-12 16:00:00 UTC,sell
2025-11-12 20:00:00 UTC,sell
2025-11-13 00:00:00 UTC,sell
2025-11-13 16:00:00 UTC,sell
2025-11-13 20:00:00 UTC,sell
2025-11-14 00:00:00 UTC,sell
2025-11-14 04:00:00 UTC,sell
2025-11-14 08:00:00 UTC,sell
2025-11-14 12:00:00 UTC,sell
2025-11-14 16:00:00 UTC,sell
2025-11-14 20:00:00 UTC,sell
2025-11-15 00:00:00 UTC,sell
2025-11-15 04:00:00 UTC,sell
2025-11-15 08:00:00 UTC,sell
2025-11-15 12:00:00 UTC,sell
2025-11-15 16:00:00 UTC,sell
2025-11-15 20:00:00 UTC,sell
2025-11-16 00:00:00 UTC,sell
2025-11-16 04:00:00 UTC,sell
2025-11-16 08:00:00 UTC,sell
2025-11-16 12:00:00 UTC,sell
2025-11-16 16:00:00 UTC,sell
2025-11-16 20:00:00 UTC,sell
2025-11-17 00:00:00 UTC,sell
2025-11-17 04:00:00 UTC,sell
2025-11-17 08:00:00 UTC,sell
2025-11-17 12:00:00 UTC,sell
2025-11-17 16:00:00 UTC,sell
2025-11-17 20:00:00 UTC,sell
2025-11-18 00:00:00 UTC,sell
2025-11-18 04:00:00 UTC,sell
2025-11-18 08:00:00 UTC,sell
2025-11-18 12:00:00 UTC,sell
2025-11-18 16:00:00 UTC,sell
2025-11-18 20:00:00 UTC,sell
2025-11-19 00:00:00 UTC,sell
2025-11-19 04:00:00 UTC,sell
2025-11-19 08:00:00 UTC,sell
2025-11-19 12:00:00 UTC,sell
2025-11-19 16:00:00 UTC,sell
2025-11-19 20:00:00 UTC,sell
2025-11-20 00:00:00 UTC,sell
2025-11-20 04:00:00 UTC,sell
2025-11-20 08:00:00 UTC,sell
2025-11-20 12:00:00 UTC,sell
2025-11-20 16:00:00 UTC,sell
2025-11-20 20:00:00 UTC,sell
2025-11-21 00:00:00 UTC,sell
2025-11-21 04:00:00 UTC,sell
2025-11-21 08:00:00 UTC,sell
2025-11-21 12:00:00 UTC,sell
2025-11-21 16:00:00 UTC,sell
2025-11-21 20:00:00 UTC,sell
2025-11-22 00:00:00 UTC,sell
2025-11-22 04:00:00 UTC,sell
2025-11-22 08:00:00 UTC,sell
2025-11-22 12:00:00 UTC,sell
2025-11-22 16:00:00 UTC,sell
2025-11-22 20:00:00 UTC,sell
2025-11-23 00:00:00 UTC,sell
2025-11-23 04:00:00 UTC,sell
2025-11-23 08:00:00 UTC,sell
2025-11-23 12:00:00 UTC,sell
2025-11-23 16:00:00 UTC,sell
2025-11-24 12:00:00 UTC,sell
2025-11-24 16:00:00 UTC,sell
2025-11-25 04:00:00 UTC,sell
2025-11-25 08:00:00 UTC,sell
2025-11-25 12:00:00 UTC,sell
2025-11-25 16:00:00 UTC,sell
2025-11-25 20:00:00 UTC,sell
2025-11-26 00:00:00 UTC,sell
2025-11-26 04:00:00 UTC,sell
2025-11-26 08:00:00 UTC,sell
2025-11-26 12:00:00 UTC,sell
2025-11-26 16:00:00 UTC,sell
2025-12-01 00:00:00 UTC,sell
2025-12-01 04:00:00 UTC,sell
2025-12-01 08:00:00 UTC,sell
2025-12-01 12:00:00 UTC,sell
2025-12-01 16:00:00 UTC,sell
2025-12-01 20:00:00 UTC,sell
2025-12-02 00:00:00 UTC,sell
2025-12-02 04:00:00 UTC,sell
2025-12-02 08:00:00 UTC,sell
2025-12-02 12:00:00 UTC,sell
2025-12-05 08:00:00 UTC,sell
2025-12-05 12:00:00 UTC,sell
2025-12-05 16:00:00 UTC,sell
2025-12-05 20:00:00 UTC,sell
2025-12-06 00:00:00 UTC,sell
2025-12-06 04:00:00 UTC,sell
2025-12-06 08:00:00 UTC,sell
2025-12-06 12:00:00 UTC,sell
2025-12-06 16:00:00 UTC,sell
2025-12-06 20:00:00 UTC,sell
2025-12-07 00:00:00 UTC,sell
2025-12-07 04:00:00 UTC,sell
2025-12-07 08:00:00 UTC,sell
2025-12-07 12:00:00 UTC,sell
